index,objectid,site_id,name,active_flag,address_street,address_city,address_state,address_zip,city,county,cong_district,senate_district,house_district,huc8,watershed_name,site_url,activity,activity_list,mpca_id,mpca_id_list,program_code_list,program_name,program_name_list,industrial_classification,ic_flag,latitude,longitude,coord_collect_method_code,coord_collect_method_name,shape,geometry
67396,67360,186313,Former Kwik Sew,Y,3002 Washington Ave N ,Minneapolis,MN,55411,Minneapolis,Hennepin,5.0,59.0,59B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/186313,Multiple Activities,"Brownfields, Petroleum Brownfield; Brownfields, Voluntary Investigation and Cleanup; Petroleum Remediation, Leak Site",Multiple IDs,BF0000102; LS0018966; PB4260; VP29540,SR,Investigation and Cleanup,Investigation and Cleanup,,N,44.9964007,-93.29672254,DM,Digitized - MPCA internal map,0101000020E61000004F528980FD5257C0131BE20E8A7F4640,POINT (476612.3475146461 4982593.204522921)
54823,54774,207702,SE Penn & Plymouth property,Y,"1242 & 1256 Penn Ave N 1235, 1237, & 1243 Oliver Ave",Minneapolis,MN,55411,Minneapolis,Hennepin,5.0,59.0,59B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/207702,Multiple Activities,"Brownfields, Petroleum Brownfield; Brownfields, Petroleum Brownfield and Voluntary Investigation and Cleanup; Brownfields, Voluntary Investigation and Cleanup",Multiple IDs,BF0000070; PB4325; VP29980,SR,Investigation and Cleanup,Investigation and Cleanup,,N,44.9964007,-93.29672254,DM,Digitized - MPCA internal map,0101000020E61000004F528980FD5257C0131BE20E8A7F4640,POINT (476612.3475146461 4982593.204522921)
147842,147792,111661,Web Label Ltd,Y,2518 2nd St N Ste 111 ,Minneapolis,MN,55411,Minneapolis,Hennepin,5.0,59.0,59B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/111661,Multiple Activities,"Brownfields, Petroleum Brownfield and Voluntary Investigation and Cleanup; Brownfields, Voluntary Investigation and Cleanup; Petroleum Remediation, Leak Site; Underground Tanks",Multiple IDs,BF0000446; LS0008077; TS0018997,SR; TL,Multiple Programs,Investigation and Cleanup; Tanks,,N,44.9964007,-93.29672254,Z1,Zip Code Centroid,0101000020E61000004F528980FD5257C0131BE20E8A7F4640,POINT (476612.3475146461 4982593.204522921)
50768,50728,214955,1000 & 1010 Lyndale Ave Demo,Y,1000 & 1010 Lundale Ave N ,Minneapolis,MN,55411,Minneapolis,Hennepin,5.0,59.0,59B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/214955,Construction Stormwater,Construction Stormwater,C00045064,C00045064,ST,Stormwater,Stormwater,,N,44.9964007,-93.29672254,Z1,Zip Code Centroid,0101000020E61000004F528980FD5257C0131BE20E8A7F4640,POINT (476612.3475146461 4982593.204522921)
169086,169083,149980,Unison Comfort Technologies,Y,60 28th Ave ,Minneapolis,MN,55411,Minneapolis,Hennepin,5.0,59.0,59B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/149980,Aboveground Tanks,Aboveground Tanks,TS0126343,TS0126343,TL,Tanks,Tanks,,N,44.99694123,-93.29564671,Q2,Public Land Survey-Two Quarter,0101000020E6100000AEA72DE0EB5257C027712DC59B7F4640,POINT (476697.36404332356 4982652.940415521)
34573,34536,23583,Scott Atwater Foundry,Y,2200 1st St N ,Minneapolis,MN,55411,Minneapolis,Hennepin,5.0,59.0,59B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/23583,Multiple Activities,Hazardous Waste; Site Assessment,Multiple IDs,MND006481659; SA0001196,HW; SR,Multiple Programs,Hazardous Waste; Investigation and Cleanup,Iron Foundries ,N,44.99694123,-93.29564671,Q2,Public Land Survey-Two Quarter,0101000020E6100000AEA72DE0EB5257C027712DC59B7F4640,POINT (476697.36404332356 4982652.940415521)
103242,103229,116247,Ascension School,Y,1726 Dupont Ave N ,Minneapolis,MN,55411,Minneapolis,Hennepin,5.0,59.0,59B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/116247,Underground Tanks,Underground Tanks,TS0013672,TS0013672,TL,Tanks,Tanks,,N,44.9970634,-93.2921573,DM,Digitized - MPCA internal map,0101000020E6100000693288B4B25257C0F08403C69F7F4640,POINT (476972.44627303886 4982665.514008991)
124423,124401,231526,MPS North,Y,1801 fremont ave n ,Minneapolis,MN,55411,Minneapolis,Hennepin,5.0,59.0,59B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/231526,Construction Stormwater,Construction Stormwater,C00054431,C00054431,ST,Stormwater,Stormwater,,N,44.997158,-93.296417,DP,Digitized - MPCA online map,0101000020E61000009F3E027FF85257C0EE7893DFA27F4640,POINT (476636.7384830464 4982677.24267506)
81784,81772,32083,Church of The Ascension,Y,1723 Bryant Ave N ,Minneapolis,MN,55411-3260,Minneapolis,Hennepin,5.0,59.0,59B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/32083,Multiple Activities,Hazardous Waste; Underground Tanks,Multiple IDs,MNR000059220; TS0002859,HW; TL,Multiple Programs,Hazardous Waste; Tanks,Religious Organizations ,N,44.9972395,-93.2913206,DM,Digitized - MPCA internal map,0101000020E6100000AC6928FFA45257C0C3633F8BA57F4640,POINT (477038.4647812896 4982684.838937268)
153893,153860,215416,North High School Track,Y,1801 Fremont Ave N ,Minneapolis,MN,55411,Minneapolis,Hennepin,5.0,59.0,59B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/215416,Multiple Activities,"Brownfields, Petroleum Brownfield; Superfund, Superfund Program Non-listed Sites",Multiple IDs,BF0000265; SR0001441,SR,Investigation and Cleanup,Investigation and Cleanup,,N,44.99725827,-93.2963249,DM,Digitized - MPCA internal map,0101000020E6100000649FB6FCF65257C064A8B328A67F4640,POINT (476644.03852567374 4982688.354827309)
